Datestamp,Active Student Cases,Total Student Cases,Active Staff Cases,Total Staff Cases,Quarantined Students,Quarantined Staff,Student Quarantine Factor,Staff Quarantine Factor,Change in Students Quarantined,% Change in Students Quarantined,% Students Quarantined,Change in Active Student Cases,% Change in Active Student Cases,% Students with Active Cases,Change in Total Student Cases,% Change in Total Student Cases,% of Students in Total Student Cases,Student Cases Resolved,Student Cases Newly Resolved,New Student Cases,Change in Staff Quarantined,% Change in Staff Quarantined,Change in Active Staff Cases,% Change in Active Staff Cases,Change in Total Staff Cases,% Change in Total Staff Cases,Staff Cases Resolved,Staff Cases Newly Resolved,New Staff Cases
2022-01-07,577,4581,134,825,987.0,135.0,1.7105719237435009,1.007462686567164,246.0,33.198380566801625,1.1611764705882353,274,90.42904290429043,0.6788235294117647,411,9.85611510791367,5.389411764705883,4004,137,411,39.0,40.625,39,41.05263157894737,70,9.271523178807946,691,31,70
2022-01-10,478,4816,62,874,853.0,62.0,1.784518828451883,1.0,-134.0,-13.576494427558258,1.0035294117647058,-99,-17.157712305025996,0.5623529411764706,235,5.129884304736957,5.665882352941177,4338,334,235,-73.0,-54.074074074074076,-72,-53.73134328358209,49,5.9393939393939394,812,121,49
2022-01-11,813,5273,119,954,,,,,,,,335,70.0836820083682,0.9564705882352941,457,9.48920265780731,6.2035294117647055,4460,122,457,,,57,91.93548387096774,80,9.153318077803203,835,23,80
2022-01-12,1129,5733,112,1010,,,,,,,,316,38.86838868388684,1.3282352941176472,460,8.723686705860041,6.7447058823529416,4604,144,460,,,-7,-5.88235294117647,56,5.870020964360587,898,63,56
2022-01-13,1212,6084,142,1075,,,,,,,,83,7.351638618246235,1.4258823529411764,351,6.122448979591836,7.15764705882353,4872,268,351,,,30,26.785714285714285,65,6.435643564356436,933,35,65
2022-01-14,1323,6319,107,1089,,,,,,,,111,9.158415841584159,1.556470588235294,235,3.862590401051939,7.434117647058823,4996,124,235,,,-35,-24.647887323943664,14,1.302325581395349,982,49,14
2022-01-15,1443,6537,133,1141,,,,,,,,120,9.070294784580499,1.6976470588235295,218,3.4499129609115364,7.6905882352941175,5094,98,218,,,26,24.299065420560748,52,4.775022956841139,1008,26,52
2022-01-17,1293,6543,105,1148,,,,,,,,-150,-10.395010395010395,1.5211764705882354,6,0.09178522257916476,7.69764705882353,5250,156,6,,,-28,-21.052631578947366,7,0.6134969325153374,1043,35,7
2022-01-18,1214,6659,81,1161,,,,,,,,-79,-6.109822119102862,1.428235294117647,116,1.7728870548677975,7.834117647058823,5445,195,116,,,-24,-22.857142857142858,13,1.132404181184669,1080,37,13
2022-01-19,1359,6986,86,1198,,,,,,,,145,11.943986820428336,1.5988235294117648,327,4.91064724433098,8.218823529411765,5627,182,327,,,5,6.172839506172839,37,3.1869078380706286,1112,32,37
2022-01-20,1501,7318,68,1214,,,,,,,,142,10.448859455481973,1.7658823529411765,332,4.752361866590324,8.609411764705882,5817,190,332,,,-18,-20.930232558139537,16,1.335559265442404,1146,34,16
2022-01-21,1428,7385,71,1232,,,,,,,,-73,-4.863424383744171,1.68,67,0.9155506969117245,8.688235294117646,5957,140,67,,,3,4.411764705882353,18,1.4827018121911038,1161,15,18
2022-01-24,1141,7664,60,1268,,,,,,,,-287,-20.098039215686274,1.3423529411764705,279,3.7779282329045363,9.016470588235293,6523,566,279,,,-11,-15.492957746478872,36,2.922077922077922,1208,47,36
2022-01-25,1215,7938,80,1311,,,,,,,,74,6.4855390008764235,1.4294117647058824,274,3.5751565762004174,9.338823529411764,6723,200,274,,,20,33.33333333333333,43,3.391167192429022,1231,23,43
2022-01-26,1166,8084,85,1326,,,,,,,,-49,-4.032921810699588,1.3717647058823528,146,1.8392542202066011,9.510588235294119,6918,195,146,,,5,6.25,15,1.1441647597254003,1241,10,15
2022-01-27,1068,8190,64,1334,,,,,,,,-98,-8.404802744425385,1.2564705882352942,106,1.3112320633349828,9.635294117647058,7122,204,106,,,-21,-24.705882352941178,8,0.603318250377074,1270,29,8
2022-01-28,972,8269,58,1344,,,,,,,,-96,-8.98876404494382,1.143529411764706,79,0.9645909645909646,9.728235294117647,7297,175,79,,,-6,-9.375,10,0.7496251874062968,1286,16,10
2022-01-31,483,8355,31,1353,,,,,,,,-489,-50.308641975308646,0.5682352941176471,86,1.040029024065788,9.829411764705883,7872,575,86,,,-27,-46.55172413793103,9,0.6696428571428571,1322,36,9
